names,good_topic1,good_topic2,good_topic3,good_topic4,good_topic5,good_topic6,bad_topic1,bad_topic2,bad_topic3,bad_topic4,bad_topic5,bad_topic6,main_good_topic,main_bad_topic,business_id
The Sandwich Joint,0.192833185,0.132731062,0.47750634,0,0.127939972,0.056449056,0.021166744,0.671575447,0.095679786,0.11000075,0.030395056,0.062061838,good_topic3,"bad_topic2,bad_topic4",ov5y742m-k2_UkfaXBFNRQ
The Sandwich Shop,0.557681355,0.12650106,0.238172175,0,0.065330257,0.003682728,0.114929274,0.629972696,0.242022946,0,0,0,good_topic1,"bad_topic1,bad_topic2,bad_topic3",NVexjaIjx-7TfoGz2iItmQ
The Sandwich Shoppe,0.097669534,0.278571645,0.248506566,0.127765737,0.241487285,0,0.011506951,0.622591202,0.173268957,0.081378259,0.032220138,0.069772155,good_topic2,"bad_topic2,bad_topic3",B-kTvanrVxDiJ7yT9knkBg
The Scotty Dog,0.008498578,0.037629311,0.257556284,0.4700144,0.165766307,0.05133933,0,0.544739878,0.22030547,0.198228616,0,0.029393595,good_topic4,"bad_topic2,bad_topic3,bad_topic4",F2LgwILhinGjVyQ4gVcXKA
The Side Door,0.102297715,0.315664035,0.114951444,0.014247436,0.078322853,0.36259386,0.028606882,0.598307795,0.192860156,0.118718926,0,0.054435543,good_topic6,"bad_topic2,bad_topic3,bad_topic4",9TFRdBf5v7xNHThDp9pPYQ
The Sleepy Potato,0.305315341,0.10578789,0.069855982,0.066343165,0.370418227,0.072111961,0.036776913,0.385605976,0.252822555,0.133937974,0.011277888,0.171634991,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",IGKj16DbhdTxk4VQaR8Aog
The Slocan,0,0.347550982,0.120619544,0,0.328159893,0.190769815,0.0248845,0.572866768,0.183813245,0.092999859,0.010577867,0.107914934,good_topic2,"bad_topic2,bad_topic3,bad_topic6",mVJ_-ZloSJVWUrs0CetxPg
The Smiling Bison,0.164746947,0.07687468,0.055625417,0.153766884,0.211905223,0.329469677,0.004639158,0.521306816,0.210816395,0.114380627,0.008996272,0.133636297,good_topic6,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",rhBDtM3S1wDJ947oldBqIQ
The Smiling Bison - Sanford,0.125426046,0.058143213,0.072621945,0.152392783,0.359314722,0.222784607,0.009784028,0.515519333,0.237514467,0.126053483,0.00776857,0.097695155,good_topic5,"bad_topic2,bad_topic3,bad_topic4",yZyC0H_lznSpf07ScO4ytw
The Soup Peddler,0.327113,0.362868382,0.19699897,0.01092289,0.060450993,0.031844372,0.028257191,0.528173068,0.282876435,0.073136657,0.010061706,0.067904187,good_topic2,"bad_topic2,bad_topic3",E1hFjUuPagyrsp6W4nZ-TQ
The Soup Peddler Real Food & Juice Bar,0.330277843,0.330700124,0.224565112,0.013758961,0.055252356,0.03620985,0.024647227,0.518577514,0.291632439,0.073029385,0.013541917,0.071162578,good_topic2,"bad_topic2,bad_topic3",P6psaE2zbQoQsThEIsrOJA
The South Side Tavern,0,0.022841084,0.221276311,0.07061183,0.291102511,0.38653573,0.020287934,0.405073404,0.281815587,0.11765494,0.05890703,0.111191063,good_topic6,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",LH3GSu8D4kLaIfS0PUryhQ
The Southern Deli,0.314310666,0.10295331,0.099932232,0.06419917,0.363452549,0.04530922,0.007682689,0.523668566,0.213106822,0.087003934,0,0.160969484,good_topic5,"bad_topic2,bad_topic3,bad_topic6",SgnyfMSlsvIlPjMxConvXg
The Sparrow Bakery,0.090214086,0.586944932,0.268332151,0,0.045327094,0,0,0.47251375,0.282861188,0.080055917,0,0.160666604,good_topic2,"bad_topic2,bad_topic3,bad_topic6",_VF1CWhsQWv77Yi92ORo1w
The Spot,0.095623123,0.101477742,0.054693519,0.172762779,0.424062713,0.141986202,0.017833954,0.540737786,0.206294654,0.126725073,0.002518536,0.099943281,good_topic5,"bad_topic2,bad_topic3,bad_topic4",8dk2GQFccz3s4sbH_6Ipww
The Steakburger,0,0,0.037140843,0.538686141,0.212836266,0.20232673,0.053904364,0.606235272,0.099659282,0.117389501,0,0.111623949,good_topic4,"bad_topic2,bad_topic4,bad_topic6",n5qK2bIgaMQyER4WLruoig
The Stonehouse Wood Fire Grill,0.21590066,0.045642669,0.065464973,0.421790372,0.190679896,0.049144331,0.019492205,0.57847724,0.239486219,0.088197269,0,0.0694909,good_topic4,"bad_topic2,bad_topic3",NSnnUpMyby6L8ALJR3AQwQ
The Story of Texas Cafe,0.496730857,0.179871743,0.104639334,0.059255535,0.072155308,0.077257431,0.03071899,0.367865454,0.273811617,0.164497713,0,0.157145346,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",1ZRVWvPCnrTnJrM_CZYsyw
The Strand,0.240416092,0.114373602,0.083617672,0.031111597,0.240600409,0.282150402,0.046524299,0.468249606,0.233282238,0.158630224,0.001040272,0.084882526,good_topic6,"bad_topic2,bad_topic3,bad_topic4",fCnXJqMHcw8i5pcqx6RwSg
The Sweet Spot,0.066398636,0.786368072,0.133980934,0,0,0,0,0.544875383,0.24871017,0.047649588,0,0.155319273,good_topic2,"bad_topic2,bad_topic3,bad_topic6",yWHnYJvoEhQ4Ot72N71O7g
The TaVern at 156 Restaurant & Bar,0.208606243,0.099287145,0,0.090093231,0.473933659,0.121972434,0,0.53366074,0.317753911,0.129686635,0,0.014264584,good_topic5,"bad_topic2,bad_topic3,bad_topic4",AooGMzLkFyVf4d6EyjMKxw
The Table,0.157901003,0.258474323,0.060700708,0.007248632,0.211509809,0.295809825,0.032333663,0.475094868,0.234860015,0.110472343,0.006144251,0.135135061,good_topic6,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",3UsjhDx90TVv6bmurO8ObA
The Take Away,0.118726799,0.039810777,0.154874181,0.060853648,0.604511572,0.011303112,0,0.528795342,0.371636053,0.089102591,0,0,good_topic5,"bad_topic2,bad_topic3",5akJFc8PN39PuKCSpwmRDw
The Taste,0,0.591389596,0.30183654,0,0.078513359,0.015476031,0,0.568671942,0.256399304,0,0,0.165558979,good_topic2,"bad_topic2,bad_topic3,bad_topic6",W0sipHBgSdaZvX8bAsQzdQ
The Tavern,0.053273338,0.019485235,0.11996484,0.106528928,0.200117273,0.490541805,0.020082221,0.548285846,0.251375719,0.061877912,0.006260928,0.105701915,good_topic6,"bad_topic2,bad_topic3,bad_topic6",#NAME?
The Tavern at Camp Creek,0,0,0.158382366,0.093200972,0.37971283,0.358563597,0.030630084,0.537569732,0.253323264,0.064949174,0.010913672,0.095257226,good_topic5,"bad_topic2,bad_topic3",TybiL1G5xYujW8_9cM4mfQ
The Templeton,0.07521149,0.46063453,0.157333643,0.080062043,0.106695852,0.111489935,0.031743901,0.499340808,0.223153583,0.100759051,0,0.138032616,good_topic2,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",2rME5YVpz8HlUXmEXuR-ew
The Thirsty Scholar Pub,0.036583045,0.022139458,0.125662927,0.026167836,0.150568985,0.628340834,0.016574585,0.53195264,0.274232373,0.093695534,0.009637632,0.068490522,good_topic6,"bad_topic2,bad_topic3",MPmPo9vike8PG1Wo8uXi0g
The Thurman Cafe,0.016995547,0.069495925,0.156578985,0.436943599,0.17135511,0.138347668,0.02227575,0.575362546,0.192871299,0.088449716,0.00766787,0.107214181,good_topic4,"bad_topic2,bad_topic3,bad_topic6",AeI3M9oEontA_sUNAxDFmA
The Tipper Restaurant & Review Room,0.073731247,0.216492655,0.129614198,0.175778671,0.242623806,0.153343721,0.03207168,0.406827692,0.266851838,0.11087432,0.019538732,0.15853211,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",YW50TOgWZ925ojZcYPZNhQ
The Torpedo Room,0.083970594,0.086946783,0.144421111,0,0.059248671,0.617463564,0.020839949,0.539035217,0.292730736,0.059039876,0.012645802,0.070416389,good_topic6,"bad_topic2,bad_topic3",ZRhYwKCaDZqnngd-KJlixw
The Townshend,0.144809674,0.051420307,0.085600196,0.010242884,0.378674963,0.3201935,0.015856032,0.51375029,0.23653106,0.115912898,0.00923373,0.103429481,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",629nHJEs1Spt4bI3mI2JwQ
The Ubar,0.020816447,0.026440636,0.198449659,0.074791708,0.341391696,0.326011584,0.014629666,0.50826413,0.273243031,0.096688699,0.008576017,0.091892573,good_topic5,"bad_topic2,bad_topic3",uFEIXFczBOGQjb4CWSd6Yg
The Ugly Mug Diner,0.053310483,0.568305619,0.113700673,0.051534116,0.148599054,0.053439747,0.035319367,0.455264073,0.275016575,0.101437976,0.001912222,0.124433731,good_topic2,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",s9-P22uuerSb_qx6WV7pVA
The Varsity,0.004599615,0.042287602,0.303064347,0.515755708,0.064852036,0.057955232,0.025023109,0.49890087,0.21047239,0.11111448,0.007020424,0.139378741,good_topic4,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",0AKsn04EfoIQDKuNdRSKHw
The Village Table,0.252721561,0.145560686,0.084295443,0.088738338,0.31094729,0.11049029,0.01578138,0.55460496,0.220884344,0.107490893,0,0.093305409,good_topic5,"bad_topic2,bad_topic3,bad_topic4",wb2b0lFm7FIybX22QyHsng
The Vortex,0,0.002796891,0.151262642,0.017291705,0.032290142,0.784338809,0.00685428,0.52381433,0.214607743,0.040672842,0,0.208900668,good_topic6,"bad_topic2,bad_topic3,bad_topic6",FrNBTS9QBTK0mTUM6Sl3Lg
The Vortex Bar And Grill - Midtown,0.025020651,0.024425039,0.124377814,0.457293192,0.154647761,0.204227847,0.019629999,0.56192172,0.210647042,0.092526553,0.006703769,0.10084425,good_topic4,"bad_topic2,bad_topic3,bad_topic6",Z2qMwUhnGt_2pA9uQbS7Uw
The Warehouse Cafe,0.054775316,0.451805264,0.210132235,0.038162915,0.155978756,0.079261034,0,0.470647526,0.312812659,0.092595053,0,0.120181395,good_topic2,"bad_topic2,bad_topic3,bad_topic6",epM3-uIluMW-gvOgBgxwXA
The Waypost,0.022637619,0.07981338,0.239577082,0.009619067,0.073508178,0.564178291,0.011776699,0.523840976,0.300556925,0.10845492,0,0.047550452,good_topic6,"bad_topic2,bad_topic3,bad_topic4",VJJ3_oNesS9bvIlayL0kQA
The Whiskey,0.057595801,0.018374223,0.045508432,0.301420909,0.228687599,0.337495196,0.033203912,0.527636166,0.218117459,0.087221531,0.01157227,0.114101063,good_topic6,"bad_topic2,bad_topic3,bad_topic6",aBdD__fQY23MKOIPmekrXw
The Wholy Grain,0.104954316,0.600311787,0.242145665,0.005599962,0.016899033,0.018591715,0.011604432,0.539806362,0.205867717,0.100715983,0.011022415,0.124368777,good_topic2,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",bSJPI4LqaSOVVPCqEnaWcA
The Woodsman Market,0.288318599,0.052139955,0.432433729,0.014989701,0.010570695,0.194768849,0,0.675316691,0.108228795,0.151563553,0,0.056461506,good_topic3,"bad_topic2,bad_topic3,bad_topic4",jiCwCveYQ_VL7c4auB-TdA
The Yellow Deli,0.210353048,0.234347218,0.187790875,0.007125816,0.129816362,0.220997735,0.014545677,0.506926385,0.256974774,0.102352704,0.027346191,0.084718893,good_topic2,"bad_topic2,bad_topic3,bad_topic4",vZsntl8pvbI-qIqBTOE5zg
Theo's,0.195889445,0.226896532,0.26187561,0.114544739,0.11615904,0.074061107,0.013238189,0.548794623,0.21085544,0.118934709,0.009886837,0.090504609,good_topic3,"bad_topic2,bad_topic3,bad_topic4",1a9aWi6PFolJMJkh_Bkydg
Thinking Cup,0.044084152,0.593431502,0.251446576,0.002349197,0.029741039,0.066834558,0.01983665,0.464536331,0.339771008,0.082245146,0.017487286,0.068099268,good_topic2,"bad_topic2,bad_topic3",9aVdsbAdqNtjQlx1t7voxQ
Third Base,0.017896661,0,0.288549856,0.053484304,0.080796583,0.555040038,0.020167179,0.509030231,0.241273016,0.086966932,0.003613948,0.132801997,good_topic6,"bad_topic2,bad_topic3,bad_topic6",ldbmFIjeFLPfGGW4scJiXQ
Thirsty Duck Saloon,0,0,0.033125965,0.222802803,0.16964187,0.561092424,0,0.540622666,0.148150682,0.208451409,0.065652758,0.026229052,good_topic6,"bad_topic2,bad_topic3,bad_topic4",5YJAj2xCesZIn3_f28OPeA
